a,b,E_X_emp,E_X_teo,E_Y_emp,E_Y_teo,E_X2_emp,E_X2_teo,E_Y2_emp,E_Y2_teo,Var_X_emp,Var_X_teo,Var_Y_emp,Var_Y_teo,std_X_emp,std_X_teo,std_Y_emp,std_Y_teo,Cov_XY_emp,Cov_XY_teo,Corr_XY_emp,Corr_XY_teo
0.0,-1,0.5094266663843336,0.5,-1.0,-1.0,0.34012617430160924,0.3333333333333333,1.0,1.0,0.08061064587815404,0.08333333333333333,0.0,0.0,0.28392013996572,0.28867513459481287,0.0,0.0,0.0,0.0,,
0.0,0,0.4992673029295428,0.5,0.0,0.0,0.33593294204749996,0.3333333333333333,0.0,0.0,0.0866651022729601,0.08333333333333333,0.0,0.0,0.2943893718750052,0.28867513459481287,0.0,0.0,0.0,0.0,,
0.0,1,0.5014298940185099,0.5,1.0,1.0,0.3325531685705863,0.3333333333333333,1.0,1.0,0.08112122995517217,0.08333333333333333,0.0,0.0,0.28481788910665734,0.28867513459481287,0.0,0.0,0.0,0.0,,
0.0,2,0.4852894504672738,0.5,2.0,2.0,0.31803572004289543,0.3333333333333333,4.0,4.0,0.08252986930806681,0.08333333333333333,0.0,0.0,0.2872801234127882,0.28867513459481287,0.0,0.0,0.0,0.0,,
0.0,4,0.49136100542640837,0.5,4.0,4.0,0.3247514952559411,0.3333333333333333,16.0,16.0,0.0833158576022901,0.08333333333333333,0.0,0.0,0.28864486415366913,0.28867513459481287,0.0,0.0,0.0,0.0,,
0.5,-1,0.5271533556699701,0.5,-0.8199853638517453,-0.8333333333333334,0.3600292722965098,0.3333333333333333,0.694692980641413,0.7166666666666667,0.0821386119023998,0.08333333333333333,0.022316983710334283,0.022222222222222143,0.28659834595196076,0.28867513459481287,0.1493887000757898,0.1490711984999857,0.041555923693596765,0.041666666666666685,0.9696321357163843,0.9682458365518565
0.5,0,0.4965154339746302,0.5,0.1646302649453842,0.16666666666666666,0.3292605298907684,0.3333333333333333,0.049043671209823045,0.05,0.08273295371575308,0.08333333333333333,0.02194054707383564,0.022222222222222227,0.28763336683311463,0.28867513459481287,0.14812341838425022,0.14907119849998599,0.04127594756308449,0.04166666666666667,0.9678310461245473,0.9682458365518544
0.5,1,0.5088636006746856,0.5,1.17121252005175,1.1666666666666667,0.34242504010350017,0.3333333333333333,1.3947977109605258,1.3833333333333333,0.0834828760118943,0.08333333333333333,0.023058943834554577,0.02222222222222192,0.28893403401450357,0.28867513459481287,0.15185171660061858,0.14907119849998496,0.04249520433942357,0.04166666666666663,0.9675802682481736,0.96824583655186
0.5,2,0.4924221786301593,0.5,2.161534662712008,2.1666666666666665,0.32306932542401556,0.3333333333333333,4.694261807690563,4.716666666666667,0.08058972341714304,0.08333333333333333,0.02202970958505054,0.02222222222222303,0.2838832918950022,0.28867513459481287,0.14842408694363102,0.1490711984999887,0.04085475085805608,0.04166666666666674,0.9686432045025285,0.9682458365518383
0.5,4,0.48986604154112223,0.5,4.1625987495559285,4.166666666666667,0.3251974991118568,0.3333333333333333,17.349388354643114,17.383333333333333,0.08522876045668826,0.08333333333333333,0.022160004838534964,0.02222222222221859,0.2919396520801658,0.28867513459481287,0.14886236877913425,0.1490711984999738,0.04206266567021567,0.04166666666666652,0.9669060302379439,0.96824583655193
